Time	Temperature (째F)	Temperature (째C)	Dew Point (째F)	Dew Point (째C)	Humidity (%)	Wind Speed (miles per hour)
12:00 AM	70	21,1	55	12,8	60	3
1:00 AM	66	18,9	55	12,8	68	6
2:00 AM	64	17,8	54	12,2	68	5
3:00 AM	63	17,2	54	12,2	72	6
4:00 AM	63	17,2	52	11,1	68	5
5:00 AM	61	16,1	52	11,1	72	3
6:00 AM	66	18,9	57	13,9	73	6
7:00 AM	77	25,0	54	12,2	44	5
8:00 AM	82	27,8	52	11,1	35	3
9:00 AM	90	32,2	52	11,1	27	7
10:00 AM	93	33,9	52	11,1	24	5
11:00 AM	97	36,1	54	12,2	23	8
12:00 PM	99	37,2	50	10,0	19	9
1:00 PM	99	37,2	52	11,1	21	8
2:00 PM	99	37,2	55	12,8	24	7
3:00 PM	95	35,0	57	13,9	28	7
4:00 PM	95	35,0	57	13,9	28	9
5:00 PM	91	32,8	55	12,8	29	7
6:00 PM	91	32,8	55	12,8	29	7
7:00 PM	90	32,2	55	12,8	31	5
8:00 PM	82	27,8	59	15,0	45	5
9:00 PM	82	27,8	59	15,0	45	3
10:00 PM	81	27,2	59	15,0	48	5
11:00 PM	79	26,1	61	16,1	54	5
