Constituency	Total population	Population under 15	Population 65 and over	Average annual income of employed residents in British pounds	Average environmental scoreÂ¹
Birmingham Edgbaston	108376	19874	15841	31945	0,27
Birmingham Erdington	130440	27044	18330	32595	0,37
Birmingham Hall Green and Moseley	124964	27467	15607	33457	0,30
Birmingham Hodge Hill and Solihull North	97889	25050	10721	30981	0,38
Birmingham Ladywood	126324	28203	8000	31607	0,40
Birmingham Northfield	112838	22940	18644	31280	0,30
Birmingham Perry Barr	113185	25336	12141	31693	0,36
Birmingham Selly Oak	113981	19608	16090	36743	0,29
Birmingham Yardley	113524	26139	14243	35963	0,33
Sutton Coldfield	96726	16645	22196	42690	0,17
